iter	Passed	Remaining
276	867	2264
277	870	2260
278	872	2255
279	875	2250
280	877	2244
281	879	2238
282	881	2232
283	883	2226
284	893	2241
285	895	2235
286	897	2229
287	899	2223
288	901	2218
289	903	2212
290	906	2208
291	908	2203
292	911	2198
293	913	2192
294	915	2186
295	917	2181
296	919	2175
297	921	2171
298	924	2166
299	926	2161
300	928	2156
301	930	2150
302	932	2144
303	935	2141
304	937	2135
305	939	2130
306	943	2129
307	945	2125
308	948	2120
309	950	2115
310	953	2111
311	955	2106
312	958	2102
313	960	2098
314	963	2094
315	966	2091
316	969	2089
317	972	2085
318	974	2079
319	976	2075
320	979	2071
321	985	2074
322	987	2069
323	989	2065
324	991	2060
325	993	2055
326	997	2053
327	1000	2049
328	1002	2043
329	1004	2038
330	1006	2033
331	1007	2027
332	1010	2023
333	1013	2020
334	1015	2016
335	1017	2010
336	1019	2005
337	1021	2000
338	1023	1995
339	1025	1990
340	1027	1986
341	1030	1981
342	1031	1976
343	1033	1970
344	1035	1965
345	1037	1960
346	1042	1962
347	1044	1957
348	1046	1952
349	1048	1947
350	1050	1942
351	1052	1937
352	1057	1938
353	1060	1934
354	1062	1930
355	1064	1924
356	1065	1919
357	1068	1915
358	1071	1912
359	1074	1910
360	1077	1906
361	1079	1901
362	1081	1897
363	1083	1892
364	1085	1888
365	1088	1884
366	1090	1880
367	1092	1876
368	1094	1871
369	1095	1865
370	1097	1861
371	1126	1901
372	1128	1896
373	1129	1891
374	1132	1887
375	1134	1882
376	1136	1878
377	1138	1873
378	1140	1868
379	1142	1863
380	1143	1858
381	1145	1853
382	1147	1848
383	1149	1844
384	1151	1839
385	1153	1834
386	1154	1828
387	1156	1823
388	1157	1818
389	1159	1813
390	1161	1809
391	1163	1805
392	1165	1800
393	1167	1795
394	1169	1790
395	1170	1785
396	1172	1780
397	1173	1775
398	1175	1770
399	1177	1766
400	1179	1761
401	1180	1756
402	1182	1751
403	1184	1747
404	1185	1742
405	1187	1737
406	1189	1732
407	1191	1728
408	1193	1724
409	1195	1719
410	1196	1715
411	1198	1710
412	1199	1705
413	1201	1700
414	1203	1696
415	1204	1691
416	1206	1686
417	1208	1683
418	1210	1678
419	1212	1674
420	1213	1669
421	1215	1665
422	1217	1660
423	1219	1656
424	1220	1651
425	1223	1648
426	1224	1643
427	1226	1639
428	1228	1635
429	1230	1630
430	1231	1626
431	1233	1621
432	1235	1617
433	1237	1613
434	1239	1609
435	1240	1605
436	1242	1600
437	1243	1595
438	1245	1591
439	1246	1586
440	1248	1582
441	1249	1577
442	1251	1573
443	1253	1569
444	1255	1565
445	1256	1561
446	1258	1556
447	1260	1552
448	1261	1548
449	1263	1543
450	1264	1539
451	1267	1536
452	1269	1532
453	1270	1528
454	1272	1524
455	1274	1520
456	1275	1515
457	1277	1511
458	1278	1507
459	1280	1503
460	1282	1499
461	1284	1495
462	1286	1491
463	1287	1487
464	1289	1483
465	1290	1478
466	1292	1474
467	1293	1470
468	1295	1466
469	1297	1462
470	1299	1459
471	1301	1455
472	1302	1451
473	1304	1447
474	1305	1443
475	1307	1438
476	1308	1434
477	1310	1430
478	1312	1427
479	1314	1423
480	1315	1419
481	1317	1416
482	1319	1412
483	1320	1408
484	1322	1404
485	1323	1400
486	1325	1396
487	1327	1392
488	1329	1389
489	1331	1386
490	1351	1400
491	1352	1396
492	1354	1392
493	1355	1388
494	1357	1385
495	1360	1382
496	1362	1378
497	1363	1374
498	1365	1370
499	1366	1366
500	1368	1363
501	1370	1359
502	1371	1355
503	1373	1352
504	1376	1348
505	1377	1344
506	1379	1340
507	1380	1337
508	1382	1333
509	1383	1329
510	1384	1325
511	1387	1322
512	1390	1319
513	1392	1316
514	1393	1312
515	1395	1308
516	1396	1304
517	1397	1300
518	1399	1297
519	1401	1293
520	1403	1290
521	1417	1297
522	1419	1294
523	1421	1291
524	1424	1288
525	1425	1284
526	1427	1281
527	1428	1277
528	1430	1273
529	1432	1270
530	1434	1266
531	1437	1264
532	1439	1260
533	1441	1257
534	1443	1254
535	1445	1251
536	1448	1248
537	1451	1246
538	1453	1242
539	1454	1239
540	1456	1235
541	1458	1232
542	1459	1228
543	1462	1225
544	1464	1222
545	1466	1219
546	1468	1215
547	1469	1212
548	1471	1208
549	1473	1205
550	1475	1202
551	1478	1199
552	1480	1196
553	1482	1193
554	1483	1189
555	1485	1186
556	1487	1182
557	1489	1179
558	1491	1176
559	1493	1173
560	1495	1170
561	1497	1166
562	1498	1163
563	1500	1159
564	1502	1156
565	1503	1153
566	1505	1150
567	1508	1147
568	1510	1144
569	1511	1140
570	1513	1137
571	1515	1133
572	1516	1130
573	1518	1126
574	1520	1123
575	1522	1120
576	1524	1117
577	1526	1114
578	1528	1111
579	1530	1108
580	1532	1104
581	1534	1101
582	1536	1098
583	1538	1096
584	1540	1092
585	1542	1089
586	1543	1086
587	1545	1082
588	1547	1079
589	1548	1076
590	1550	1073
591	1552	1070
592	1554	1067
593	1556	1063
594	1558	1060
595	1559	1057
596	1561	1053
597	1580	1062
598	1582	1059
599	1584	1056
600	1586	1053
601	1588	1050
602	1590	1046
603	1592	1043
604	1594	1040
605	1596	1037
606	1598	1034
607	1600	1031
608	1602	1028
609	1604	1025
610	1605	1022
611	1607	1019
612	1609	1016
613	1611	1012
614	1613	1009
615	1615	1006
616	1616	1003
617	1618	1000
618	1620	997
619	1621	994
620	1623	990
621	1625	987
622	1627	984
623	1629	981
624	1631	978
625	1633	975
626	1634	972
627	1636	969
628	1638	966
629	1640	963
630	1641	960
631	1643	957
632	1645	954
633	1647	951
634	1649	947
635	1650	944
636	1652	941
637	1654	938
638	1656	935
639	1658	932
640	1660	929
641	1662	926
642	1663	923
643	1665	920
644	1667	917
645	1668	914
646	1670	911
647	1673	909
648	1675	905
649	1676	902
650	1678	899
651	1680	896
652	1681	893
653	1683	890
654	1685	887
655	1687	884
656	1689	881
657	1691	879
658	1692	876
659	1694	872
660	1696	869
661	1697	866
662	1699	864
663	1701	861
664	1703	858
665	1705	855
666	1707	852
667	1708	849
668	1710	846
669	1712	843
670	1713	840
671	1715	837
672	1717	834
673	1719	831
674	1720	828
675	1722	825
676	1724	822
677	1726	819
678	1727	816
679	1729	813
680	1731	810
681	1733	808
682	1734	805
683	1736	802
684	1738	799
685	1740	796
686	1741	793
687	1743	790
688	1745	787
689	1747	784
690	1748	782
691	1750	779
692	1752	776
693	1753	773
694	1755	770
695	1757	767
696	1759	764
697	1760	761
698	1763	759
699	1764	756
700	1766	753
701	1768	750
702	1770	747
703	1771	744
704	1773	742
705	1775	739
706	1777	736
707	1779	734
708	1781	731
709	1783	728
710	1785	725
711	1786	722
712	1788	719
713	1790	717
714	1792	714
715	1794	711
716	1796	709
717	1798	706
718	1800	703
719	1815	705
720	1818	703
721	1820	701
722	1822	698
723	1824	695
724	1825	692
725	1827	689
726	1829	687
727	1831	684
728	1833	681
729	1835	678
730	1836	675
731	1838	673
732	1840	670
733	1842	667
734	1844	664
735	1846	662
736	1847	659
737	1849	656
738	1851	653
739	1852	651
740	1854	648
741	1856	645
742	1858	642
743	1861	640
744	1863	637
745	1864	634
746	1866	632
747	1868	629
748	1870	626
749	1872	624
750	1874	621
751	1876	618
752	1877	615
753	1879	613
754	1881	610
755	1882	607
756	1884	604
757	1886	602
758	1887	599
759	1889	596
760	1891	594
761	1893	591
762	1894	588
763	1896	585
764	1898	583
765	1900	580
766	1901	577
767	1903	575
768	1905	572
769	1907	569
770	1908	566
771	1910	564
772	1912	561
773	1913	558
774	1915	556
775	1917	553
776	1919	550
777	1921	548
778	1923	545
779	1924	542
780	1926	540
781	1928	537
782	1929	534
783	1931	532
784	1934	529
785	1936	527
786	1937	524
787	1939	521
788	1940	519
789	1942	516
790	1944	513
791	1945	511
792	1947	508
793	1949	505
794	1951	503
795	1953	500
796	1954	497
797	1956	495
798	1958	492
799	1960	490
800	1961	487
801	1963	484
802	1965	482
803	1967	479
804	1968	476
805	1970	474
806	1972	471
807	1974	469
808	1976	466
809	1978	464
810	1980	461
811	1982	458
812	1983	456
813	1985	453
814	1986	451
815	1988	448
816	1990	445
817	1991	443
818	1993	440
819	1995	438
820	1997	435
821	1999	432
822	2000	430
823	2002	427
824	2004	425
825	2006	422
826	2008	420
827	2009	417
828	2011	414
829	2013	412
830	2014	409
831	2016	407
832	2018	404
833	2019	402
834	2029	401
835	2032	398
836	2034	396
837	2038	394
838	2040	391
839	2054	391
840	2056	388
841	2058	386
842	2060	383
843	2062	381
844	2064	378
845	2065	376
846	2067	373
847	2069	371
848	2071	368
849	2073	365
850	2075	363
851	2076	360
852	2078	358
853	2079	355
854	2082	353
855	2084	350
856	2086	348
857	2088	345
858	2089	343
859	2091	340
860	2092	337
861	2094	335
862	2096	332
863	2098	330
864	2100	327
865	2101	325
866	2103	322
867	2105	320
868	2106	317
869	2108	315
870	2110	312
871	2112	310
872	2114	307
873	2116	305
874	2118	302
875	2119	300
876	2121	297
877	2123	295
878	2125	292
879	2127	290
880	2129	287
881	2131	285
882	2133	282
883	2134	280
884	2136	277
885	2138	275
886	2140	272
887	2141	270
888	2144	267
889	2146	265
890	2148	262
891	2149	260
892	2151	257
893	2153	255
894	2155	252
895	2156	250
896	2158	247
897	2160	245
898	2162	242
899	2164	240
900	2165	237
901	2167	235
902	2169	233
903	2171	230
904	2174	228
905	2176	225
906	2178	223
907	2182	221
908	2187	219
909	2191	216
910	2194	214
911	2196	211
912	2199	209
913	2203	207
914	2206	204
915	2208	202
916	2211	200
917	2213	197
918	2216	195
919	2219	193
920	2222	190
921	2225	188
922	2227	185
923	2230	183
924	2232	181
925	2236	178
926	2238	176
927	2240	173
928	2243	171
929	2246	169
930	2250	166
931	2252	164
932	2255	161
933	2270	160
934	2272	158
935	2275	155
936	2278	153
937	2282	150
938	2284	148
939	2287	145
940	2289	143
941	2292	141
942	2295	138
943	2298	136
944	2300	133
945	2303	131
946	2306	129
947	2309	126
948	2312	124
949	2316	121
950	2318	119
951	2321	117
952	2325	114
953	2328	112
954	2330	109
955	2332	107
956	2335	104
957	2338	102
958	2342	100
959	2344	97
960	2346	95
961	2349	92
962	2352	90
963	2355	87
964	2357	85
965	2360	83
966	2362	80
967	2365	78
968	2368	75
969	2371	73
970	2373	70
971	2376	68
972	2378	66
973	2381	63
974	2384	61
975	2387	58
976	2389	56
977	2392	53
978	2394	51
979	2397	48
980	2401	46
981	2403	44
982	2406	41
983	2408	39
984	2411	36
985	2415	34
986	2417	31
987	2420	29
988	2422	26
989	2426	24
990	2429	22
991	2432	19
992	2434	17
993	2436	14
994	2439	12
995	2442	9
996	2445	7
997	2447	4
998	2450	2
999	2452	0
